               epoch,      v9train/box_loss,      v9train/cls_loss,      v9train/dfl_loss,      v9val/box_loss,        v9val/cls_loss,        v9val/dfl_loss,      g_ev_train/box_loss,      g_ev_train/cls_loss,      g_ev_train/dfl_loss,       g_ev_val/box_loss,        g_ev_val/cls_loss,        g_ev_val/dfl_loss,     ge_train/box_loss,      ge_train/cls_loss,      ge_train/dfl_loss,        ge_val/box_loss,        ge_val/cls_loss,        ge_val/dfl_loss
33,1.7627,1.7114,1.504,1.6312,1.6296,1.6266,1.6369,1.4108,1.4642,1.6516,1.3931,1.5906,1.6369,1.4108,1.4642,1.6778,1.3659,1.6932
34,1.81,1.7689,1.5607,1.7182,1.5251,1.6888,1.6694,1.3927,1.4838,1.6041,1.2467,1.5667,1.6694,1.3927,1.4838,1.6685,1.3711,1.6908
35,1.7845,1.7063,1.5665,1.6763,1.7935,1.7052,1.6567,1.4244,1.5033,1.74,1.4914,1.6681,1.6567,1.4244,1.5033,1.6612,1.2874,1.6711
36,1.784,1.7276,1.4994,1.9438,2.6784,1.9376,1.6507,1.3754,1.4919,1.6363,1.1604,1.5485,1.6507,1.3754,1.4919,1.727,1.3099,1.7028
37,1.7497,1.6643,1.4768,1.615,1.8348,1.6768,1.6649,1.3294,1.4401,1.7758,1.2632,1.6361,1.6649,1.3294,1.4401,1.6859,1.2793,1.6978
38,1.7317,1.593,1.4961,1.6132,1.4497,1.6142,1.6436,1.3503,1.4717,1.6077,1.1938,1.5429,1.6436,1.3503,1.4717,1.6937,1.3179,1.6899
39,1.7202,1.6011,1.4808,1.6073,1.5278,1.6138,1.6175,1.3162,1.4376,1.6016,1.1825,1.535,1.6175,1.3162,1.4376,1.7548,1.3131,1.7335
40,1.7033,1.6085,1.4785,1.6198,1.3868,1.617,1.5977,1.2742,1.3952,1.6321,1.1373,1.5813,1.5977,1.2742,1.3952,1.7097,1.2605,1.7227
41,1.6857,1.55,1.5039,1.5802,1.5238,1.6117,1.5976,1.2885,1.405,1.594,1.1317,1.5491,1.5976,1.2885,1.405,1.6574,1.2554,1.7023
42,1.7255,1.5522,1.4784,1.6565,1.322,1.6594,1.5824,1.2639,1.404,1.8482,1.7667,1.6804,1.5824,1.2639,1.404,1.7179,1.2789,1.7246
43,1.7015,1.5276,1.4926,1.6344,1.3113,1.6393,1.5586,1.2227,1.3902,1.7675,1.5681,1.6459,1.5586,1.2227,1.3902,1.6806,1.3174,1.6939
44,1.6822,1.5068,1.4571,1.6136,1.3316,1.6148,1.5851,1.27,1.432,1.6644,1.2665,1.5932,1.5851,1.27,1.432,1.7114,1.2559,1.7376
45,1.7086,1.5432,1.4935,1.5854,1.2662,1.6025,1.568,1.2348,1.3946,1.6279,1.081,1.5576,1.568,1.2348,1.3946,1.6625,1.2704,1.6703
46,1.6692,1.5301,1.4755,1.6662,1.418,1.6469,1.551,1.2348,1.404,1.5896,1.0441,1.5796,1.551,1.2348,1.404,1.7072,1.161,1.7277
47,1.6996,1.4959,1.4853,1.6271,1.4718,1.6209,1.5726,1.2472,1.4323,1.557,1.089,1.5208,1.5726,1.2472,1.4323,1.741,1.2464,1.6997
48,1.6287,1.4161,1.3906,1.661,1.2972,1.6366,1.5723,1.2845,1.4254,1.6776,1.1811,1.5894,1.5723,1.2845,1.4254,1.6768,1.2965,1.6705
